ADM2|01|1108|1215635|Kabupaten Aceh Besar|5.4|95.5|Daerah Tingkat II Atjeh Besar,Great Aceh Regency,Kabupaten Aceh Besar,Kabupaten Atjeh Besar
ADM2|01|1107|1215636|Kabupaten Aceh Barat|4.43333|96.16667|Daerah Tingkat II Atjeh Barat,Kabupaten Aceh Barat,Kabupaten Atjeh Barat,West Aceh Regency
ADM1|01||1215638|Nanggroe Aceh Darussalam Province|4|97|Aachee,Aceh,Acekh,Aceх,Acheh,Achekh,Acheҳ,Achin,Daerah Istimewa Aceh,Daerah Istimewa Atjeh,Nanggroe Aceh Darussalam,Propinsi Atjeh,Propinsi Nanggroe Aceh Darussalam,Provinsi Nanggroe Aceh Darussalam,Special Region of Aceh,Special Territory of Aceh,ace,aceha,ache zhou,achh,achې,ʿecehi,Ачех,Ачеҳ,آچه,اچې,আচেহ,ਅਚੇ,አቼህ,アチェ州
ADM2|10|3471|1621175|Kota Yogyakarta|-7.8|110.375|Kota Yogyakarta,Kotamadya Jogjakarta,Kotamadya Yogyakarta,Kotapradja Jogjakarta,Yogyakarta
ADM1|10||1621176|Daerah Istimewa Yogyakarta|-7.8008|110.34393|Daerah Istimewa Djogjakarta,Daerah Istimewa Jogjakarta,Daerah Istimewa Yogyakarta,Jogjakarta,Jugjakarta,Special District of Jogjakarta,Special Region of Yogyakarta,Yogyakarta,Yoqyakarta,jogajakarata,jogujakaruta zhou,yogyakarta,yoግyakarita,ywgyakarta,ywګyakarta,Йогякарта,Йўғякарта,یوګیاکارتا,یوگیاکارتا,যোগ্যাকার্তা,ਜੋਗਜਾਕਾਰਤਾ,ዮግያካርታ,ジョグジャカルタ州
ADM2|36|9426|1621238|Kabupaten Waropen|-2.73008|136.64568|Kabupaten Japen Waropen,Kabupaten Yapen Waropen,Waropen Regency,Yapen Waropen
ADM2|07|3312|1621430|Kabupaten Wonogiri|-7.91667|111|Daerah Tingkat II Wonogiri,Kabupaten Wonogiri,Wonogiri,Wonogiri Regency
ADM2|38|7313|1622267|Kabupaten Wajo|-4|120.16667|Daerah Tingkat II Wadjo,Kabupaten Wadjo,Kabupaten Wajo,Wajo,Wajo Regency
ADM2|38|7371|1622785|Kota Makassar|-5.13333|119.46667|Kodya Ujungpandang,Kota Makassar,Kotamadya Makasar,Kotamadya Makassar,Kotamadya Ujungpadang,Kotamadya Ujungpandang,Kotapradja Makasar,Kotapradja Makassar,Makassar
ADM2|08|3504|1623079|Kabupaten Tulungagung|-8.13333|111.91667|Daerah Tingkat II Tulungagung,Kabupaten Tulungagung,Tulungagung,Tulungagung Regency
